address;zipcode;latitude;longitude;title
455 Albee Square, Brooklyn, NY 11201;11418;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11424;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11430;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11436;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11442;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11448;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11454;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11460;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11466;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11472;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11478;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11484;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11490;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11496;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11102;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11108;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11114;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11120;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11126;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11132;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11138;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11144;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11150;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11156;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11162;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11168;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11174;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11180;40.69046;-73.98348;Brooklyn Studios
455 Albee Square, Brooklyn, NY 11201;11186;40.69046;-73.98348;Brooklyn Studios
